Timestamp,What is Your age group ?,Whta is Your highest level of education ?,Which city / town do you currently reside in ?,Do you believe that sports is important for the overall developement of a child ?,How many hours per week does your child spend in physical / sports actively ?,I encourage my child to participate in competitive sports. ,I would support my child if they wanted to pursue sports as a full-time career. ,A career in sports lacks job security. ,Sports can be as respectable and successful a career as medicine/engineering. ,Is your child enrolled in any coaching academy or private training for sports ?,I am aware of sports scholarships for young athletes in India. ,I believe that schools provide enough support for children in sports. ,Sports careers come with high injury risks.  ,A sports career can affect my child's education negatively.  ,Financial stability is a major concern in sports careers.  ,What is Your Gender,Email address,Column 17,Column 14
19/06/2025 09:46:49,Below 30,Postgraduate,Bhadreswar,Agree,Less than 2 hours,Occasionally,"Maybe , depending on the sports",Lack of job security,To some extent,Planning to,"Yes , well aware",Yes,Neutral,Strongly Disagree,Agree,Male,,,
17/07/2025 11:28:50,Below 30,Undergraduate,Ichapore,Strongly Agree,2 - 5 hours,Agree,Strongly Agree,Neutral,Agree,Planning to,Strongly Agree,Agree,Neutral,Strongly Disagree,Agree,Female,,,
17/07/2025 11:30:06,Below 30,Undergraduate,West bengal,Agree,2 - 5 hours,Agree,Agree,Neutral,Agree,Yes,Agree,Agree,Neutral,Neutral,Agree,Male,,,
17/07/2025 11:30:17,Below 30,Undergraduate,Howrah,Agree,2 - 5 hours,Agree,Agree,Agree,Agree,No,Agree,Disagree,Agree,Neutral,Agree,Male,,,
17/07/2025 11:30:31,Below 30,Undergraduate,chandannagar ,Strongly Agree,More than 10 hours,Strongly Agree,Agree,Neutral,Agree,Planning to,Strongly Agree,Strongly Agree,Agree,Disagree,Neutral,Female,,,
17/07/2025 11:31:21,Below 30,Undergraduate,"Naihati, Bhatpara West Bengal, India",Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Agree,Strongly Agree,No,Neutral,Neutral,Agree,Disagree,Agree,Male,,,
17/07/2025 11:32:08,Below 30,Undergraduate,Serampore ,Strongly Agree,Less than 2 hours,Agree,Neutral,Agree,Neutral,No,Neutral,Agree,Disagree,Agree,Agree,Male,,,
17/07/2025 11:32:12,Below 30,Undergraduate,Sheoraphully,Agree,2 - 5 hours,Agree,Agree,Strongly Disagree,Neutral,No,Agree,Neutral,Agree,Disagree,Agree,Female,,,
17/07/2025 11:32:28,Below 30,Postgraduate,Bhatpara,Strongly Agree,More than 10 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Yes,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Male,,,
17/07/2025 11:32:40,41 - 50,Doctorate / Professional Degree,Kolkata,Strongly Agree,6 - 10 hours,Strongly Agree,Neutral,Neutral,Neutral,No,Agree,Neutral,Disagree,Neutral,Strongly Agree,Male,,,
17/07/2025 11:33:02,Below 30,Undergraduate,Hooghly,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Planning to,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Female,,,
17/07/2025 11:33:23,Below 30,Undergraduate,West Bengal ,Agree,2 - 5 hours,Agree,Agree,Disagree,Agree,No,Agree,Neutral,Neutral,Disagree,Disagree,Male,,,
17/07/2025 11:34:09,Below 30,Undergraduate,Sheoraphuli ,Strongly Agree,2 - 5 hours,Strongly Agree,Strongly Agree,Strongly Disagree,Neutral,Yes,Strongly Agree,Strongly Agree,Neutral,Strongly Disagree,Agree,Male,,,
17/07/2025 11:34:35,Below 30,Undergraduate,Shrirampur,Agree,Less than 2 hours,Neutral,Agree,Agree,Agree,Planning to,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Female,,,
